Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador,score_lesion,score_nivel
HARLEM EUPHORIA,63.95,No data,"negro, verde",0,4,0,0,2,0,1,0,mixta,0.34615384615384615,0.3290676416819013 
VARLION LW DIFUSOR W 2021,149.95,varlion,"negro, rosa",1,4,0,0,2,1,2,0,mixta,0.4807692307692308,0.4552102376599635
DUNLOP BOOST LITE 2.0 WOMAN,109.0,black crown,"negro, azul",1,2,2,0,2,1,1,1,mixta,0.47692307692307695,0.4515539305301645
BLACK CROWN PITON 11 2023,86.95,dunlop,rosa,1,4,1,1,1,1,2,1,mujer,0.6038461538461538,0.5173674588665448
SIUX FURTIVE PRO 2,62.95,siux,"negro, amarillo",2,4,1,0,2,2,1,0,mixta,0.5846153846153846,0.5575868372943328
ADIDAS ADIPOWER JUNIOR 3.3,222.95,varlion,verde,0,4,0,0,3,0,2,0,mixta,0.42307692307692313,0.44606946983546625
VARLION BOURNE PRISMA RADIO,66.95,adidas,"negro, blanco, naranja",1,4,0,1,1,1,1,1,junior,0.5192307692307693,0.4369287020109689
MYSTICA QUICKSTART HYBRID BLUE 2024,48.95,No data,azul,2,2,1,2,1,0,1,2,mixta,0.5846153846153846,0.4844606946983547
SIUX ELECTRA ST3 LITE,229.0,siux,"negro, amarillo",2,3,0,2,2,1,2,1,hombre,0.6538461538461539,0.6087751371115173
DUNLOP TITAN 2.0 AMARILLA AZUL,89.95,dunlop,No data,2,0,1,2,2,0,1,2,hombre,0.5076923076923077,0.46983546617915906
RS PADEL COBRA APEX EDITION NEGRO GRIS MUJER,109.95,No data,"negro, gris",1,2,0,0,1,2,2,0,mujer,0.3653846153846154,0.3491773308957953
SIUX PEGASUS REVOLUTION 2,349.0,siux,negro,2,2,0,3,2,0,1,2,hombre,0.6346153846153847,0.5648994515539305
SIUX PEGASUS 1K LIMITED EDITION,169.95,siux,negro,0,4,0,0,2,0,1,0,mixta,0.34615384615384615,0.3290676416819013
BLACK CROWN PITON ATTACK PLUS,183.95,black crown,"negro, blanco, naranja",0,4,0,0,2,2,2,0,mixta,0.46153846153846156,0.4826325411334553
RS COBRA APEX EDITION WOMEN GREEN,60.95,No data,"lima, verde",1,2,0,0,1,2,2,0,mujer,0.3653846153846154,0.3491773308957953
HEAD SPEED JUNIOR 2023,49.95,head,"negro, gris",2,1,1,0,1,2,1,2,junior,0.48846153846153845,0.4625228519195612
BLACK CROWN SPECIAL SOFT 2023,280.0,black crown,"negro, blanco, plateado",3,4,0,0,2,2,2,3,mixta,0.8076923076923077,0.7842778793418647
STARVIE AQUILA SPACE SPEED 2.0 2023,130.95,No data,"negro, azul, verde",2,4,0,0,1,2,2,2,mixta,0.6538461538461539,0.6014625228519197
VARLION BOURNE CARBON 2 PRISMA,127.95,varlion,"negro, gris, rosa",0,2,0,0,2,3,2,0,mixta,0.38461538461538464,0.4497257769652651
DUNLOP AERO-STAR LITE,150.95,dunlop,No data,3,2,0,3,1,3,2,3,hombre,0.8653846153846154,0.809872029250457
DUNLOP NEMESIS CARBON,123.95,dunlop,"negro, rojo",2,4,0,0,2,2,2,0,mixta,0.576923076923077,0.5648994515539306
BABOLAT AIR VIPER 2024,254.95,babolat,azul,3,2,0,2,2,0,2,3,hombre,0.7307692307692308,0.6745886654478978
BLACK CROWN WOLF,71.95,black crown,"negro, amarillo",1,4,1,1,1,0,1,1,hombre,0.5269230769230769,0.4186471663619744
SIUX ELECTRA ST2 CONTROL RACKET,139.95,siux,"negro, azul",1,4,0,1,2,1,2,1,hombre,0.5961538461538461,0.5539305301645339
WILSON BELA PRO PADEL 2,149.96,wilson,"negro, rojo",3,3,0,0,3,3,2,0,mixta,0.6538461538461539,0.7038391224862889
HEAD CHALLENGE AZUL VERDE,61.95,head,"negro, azul, verde",2,1,1,0,1,2,1,0,mixta,0.3730769230769231,0.3528336380255941
NOX AT10 GENIUS 12K BY AGUSTÍN TAPIA EX,149.95,nox,No data,3,2,0,2,2,2,2,2,hombre,0.75,0.7294332723948812
HEAD CALIBRE ROSA,59.95,head,"negro, rosa",2,1,1,0,1,2,1,0,mujer,0.3730769230769231,0.3528336380255941
DUNLOP TITAN KILLER 2.0 2024,89.95,dunlop,azul,3,0,1,2,2,0,1,3,hombre,0.6230769230769231,0.5795246800731262
SIUX PEGASUS REVOLUTION 12K,129.95,siux,negro,2,4,0,2,2,0,1,2,hombre,0.6923076923076923,0.6087751371115173
HEAD GRAPHENE 360 ALPHA CONTROL,119.95,head,"negro, gris, naranja",2,1,0,0,2,2,1,2,mixta,0.4807692307692308,0.49908592321755024
HEAD SPEED PRO X 2023,213.95,head,"negro, azul",3,1,0,0,2,2,1,3,hombre,0.5961538461538461,0.6087751371115173
