Palas,Precio,Marca,Color,Producto,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Acabado,Forma,Superficie,Tipo de Juego,Jugador
HARLEM EUPHORIA,"63,95 €",No data,"negro, verde",palas,"alto, medio",soft eva,No data,No data,avanzado / competición,No data,No data,lisa,No data,"hombre, mujer"
VARLION LW DIFUSOR W 2021,"149,95 €",varlion,"negro, rosa",palas,bajo,soft eva,No data,No data,avanzado / competición,No data,redonda,rugosa,No data,"hombre, mujer"
DUNLOP BOOST LITE 2.0 WOMAN,"109,00 €",black crown,"negro, azul",palas,bajo,eva,"carbono, fibra de vidrio",No data,avanzado / competición,No data,redonda,lisa,control,"hombre, mujer"
BLACK CROWN PITON 11 2023,"86,95 €",dunlop,rosa,palas,bajo,soft eva,fibra de vidrio,blanda,principiante / intermedio,No data,redonda,rugosa,control,mujer
SIUX FURTIVE PRO 2,"62,95 €",siux,"negro, amarillo",palas,medio,soft eva,fibra de vidrio,No data,avanzado / competición,mate,lágrima,lisa,No data,"hombre, mujer"
ADIDAS ADIPOWER JUNIOR 3.3,"222,95 €",varlion,verde,palas,"alto, medio",ultrasoft eva,No data,No data,"avanzado / competición, profesional",No data,No data,rugosa,No data,"hombre, mujer"
VARLION BOURNE PRISMA RADIO,"66,95 €",adidas,"negro, blanco, naranja",palas,bajo,soft eva,No data,blanda,principiante / intermedio,No data,redonda,lisa,control,junior
MYSTICA QUICKSTART HYBRID BLUE 2024,"48,95 €",No data,azul,palas,medio,eva,fibra de vidrio,media,principiante / intermedio,No data,No data,lisa,polivalente,"hombre, mujer"
SIUX ELECTRA ST3 LITE,"229,00 €",siux,"negro, amarillo",palas,medio,hard eva,No data,media,avanzado / competición,"mate, arenoso",redonda,rugosa,control,hombre
DUNLOP TITAN 2.0 AMARILLA AZUL,"89,95 €",dunlop,No data,palas,medio,No data,fibra de vidrio,media,avanzado / competición,mate,No data,lisa,polivalente,hombre
RS PADEL COBRA APEX EDITION NEGRO GRIS MUJER,"109,95 €",No data,"negro, gris",palas,bajo,black eva,No data,No data,principiante / intermedio,No data,lágrima,rugosa,No data,mujer
SIUX PEGASUS REVOLUTION 2,"349,00 €",siux,negro,palas,medio,medium eva,No data,dura,avanzado / competición,No data,No data,lisa,polivalente,hombre
SIUX PEGASUS 1K LIMITED EDITION,"169,95 €",siux,negro,palas,"alto, medio",soft eva,No data,No data,avanzado / competición,No data,No data,lisa,No data,"hombre, mujer"
BLACK CROWN PITON ATTACK PLUS,"183,95 €",black crown,"negro, blanco, naranja",palas,"alto, medio",supersoft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
RS COBRA APEX EDITION WOMEN GREEN,"60,95 €",No data,"lima, verde",palas,bajo,black eva,No data,No data,principiante / intermedio,No data,lágrima,rugosa,No data,mujer
HEAD SPEED JUNIOR 2023,"49,95 €",head,"negro, gris",palas,medio,foam,fibra de vidrio,No data,principiante / intermedio,No data,lágrima,lisa,polivalente,junior
BLACK CROWN SPECIAL SOFT 2023,"280,00 €",black crown,"negro, blanco, plateado",palas,alto,soft eva,No data,No data,avanzado / competición,mate,lágrima,rugosa,potencia,"hombre, mujer"
STARVIE AQUILA SPACE SPEED 2.0 2023,"130,95 €",No data,"negro, azul, verde",palas,medio,soft eva,No data,No data,principiante / intermedio,mate,lágrima,rugosa,polivalente,"hombre, mujer"
VARLION BOURNE CARBON 2 PRISMA,"127,95 €",varlion,"negro, gris, rosa",palas,"alto, medio",medium eva,No data,No data,avanzado / competición,No data,diamante,rugosa,No data,"hombre, mujer"
DUNLOP AERO-STAR LITE,"150,95 €",dunlop,No data,palas,alto,eva,No data,dura,principiante / intermedio,mate,diamante,rugosa,potencia,hombre
DUNLOP NEMESIS CARBON,"123,95 €",dunlop,"negro, rojo",palas,medio,soft eva,No data,No data,avanzado / competición,No data,lágrima,rugosa,No data,"hombre, mujer"
