Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador
HARLEM EUPHORIA,63.95,No data,"negro, verde",No data,soft eva,No data,No data,avanzado,No data,lisa,No data,mixta
VARLION LW DIFUSOR W 2021,149.95,varlion,"negro, rosa",bajo,soft eva,No data,No data,avanzado,redonda,rugosa,No data,mixta
DUNLOP BOOST LITE 2.0 WOMAN,109.0,black crown,"negro, azul",bajo,medium eva,mix,No data,avanzado,redonda,lisa,control,mixta
BLACK CROWN PITON 11 2023,86.95,dunlop,rosa,bajo,soft eva,fibra de vidrio,blanda,principiante,redonda,rugosa,control,mujer
SIUX FURTIVE PRO 2,62.95,siux,"negro, amarillo",medio,soft eva,fibra de vidrio,No data,avanzado,lágrima,lisa,No data,mixta
ADIDAS ADIPOWER JUNIOR 3.3,222.95,varlion,verde,No data,soft eva,No data,No data,pro,No data,rugosa,No data,mixta
MYSTICA QUICKSTART HYBRID BLUE 2024,48.95,No data,azul,medio,medium eva,fibra de vidrio,media,principiante,No data,lisa,polivalente,mixta
SIUX ELECTRA ST3 LITE,229.0,siux,"negro, amarillo",medio,hard eva,No data,media,avanzado,redonda,rugosa,control,hombre
DUNLOP TITAN 2.0 AMARILLA AZUL,89.95,dunlop,No data,medio,No data,fibra de vidrio,media,avanzado,No data,lisa,polivalente,hombre
RS PADEL COBRA APEX EDITION NEGRO GRIS MUJER,109.95,No data,"negro, gris",bajo,medium eva,No data,No data,principiante,lágrima,rugosa,No data,mujer
SIUX PEGASUS REVOLUTION 2,349.0,siux,negro,medio,medium eva,No data,dura,avanzado,No data,lisa,polivalente,hombre
SIUX PEGASUS 1K LIMITED EDITION,169.95,siux,negro,No data,soft eva,No data,No data,avanzado,No data,lisa,No data,mixta
BLACK CROWN PITON ATTACK PLUS,183.95,black crown,"negro, blanco, naranja",No data,soft eva,No data,No data,avanzado,lágrima,rugosa,No data,mixta
RS COBRA APEX EDITION WOMEN GREEN,60.95,No data,"lima, verde",bajo,medium eva,No data,No data,principiante,lágrima,rugosa,No data,mujer
BLACK CROWN SPECIAL SOFT 2023,280.0,black crown,"negro, blanco, plateado",alto,soft eva,No data,No data,avanzado,lágrima,rugosa,potencia,mixta
STARVIE AQUILA SPACE SPEED 2.0 2023,130.95,No data,"negro, azul, verde",medio,soft eva,No data,No data,principiante,lágrima,rugosa,polivalente,mixta
