Palas,Precio,URL,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador,score_lesion,score_nivel,score_lesion_ajustado,score_nivel_ajustado
NOX AT GENIUS ATTACK 18K AGUSTÍN TAPIA 2024,149.95,https://www.padelnuestro.com/nox-at-genius-attack-18k-agustin-tapia-2024-110802-p,nox,negro,3,2,0,3,2,3,2,3,mixta,0.8378378378378379,0.8830409356725146,0.6702702702702704,0.8830409356725146
KOMBAT MM3 PRO 2024,125.0,https://www.padelnuestro.com/kombat-mm3-pro-2024-112617-p,kombat,blanco,2,2,0,2,2,2,2,2,hombre,0.5405405405405406,0.5672514619883041,0.5405405405405406,0.5672514619883041
SIUX ASTRA 3.0 HYBRID,59.95,https://www.padelnuestro.com/siux-astra-3-0-hybrid-28766-p,siux,"negro, amarillo, verde",2,4,0,0,1,2,1,2,hombre,0.2972972972972973,0.12280701754385967,0.38648648648648654,0.2
NOX AT10 GENIUS 12K AGUSTIN TAPIA 2024,161.95,https://www.padelnuestro.com/nox-at10-genius-12k-agustin-tapia-2024-110804-p,nox,negro,2,2,0,3,2,2,2,2,mixta,0.6216216216216217,0.6374269005847953,0.5594594594594595,0.6374269005847953
PALA SIUX FENIX II 3K,89.95,https://www.padelnuestro.com/pala-siux-fenix-ii-3k-28760-p,siux,"negro, naranja",2,2,0,0,2,2,2,2,hombre,0.3783783783783784,0.4269005847953218,0.4162162162162163,0.4269005847953218
NOX ML10 PRO CUP 3K LUXURY SERIES 2024,142.95,https://www.padelnuestro.com/nox-ml10-pro-cup-3k-luxury-series-2024-110810-p,nox,"negro, blanco, rojo",2,2,0,2,2,1,2,1,hombre,0.40540540540540543,0.5321637426900585,0.40540540540540543,0.5321637426900585
NOX PACK AT GENIUS LIMITED EDITION 2024,229.95,https://www.padelnuestro.com/nox-pack-at-genius-limited-edition-2024-110812-p,nox,negro,2,2,0,3,2,2,2,2,hombre,0.6216216216216217,0.6374269005847953,0.5594594594594595,0.6374269005847953
BABOLAT TECHNICAL VIPER LEBRON 2023,199.95,https://www.padelnuestro.com/babolat-technical-viper-lebron-2023-103654-p,babolat,"negro, azul, rojo",3,2,0,3,3,3,2,3,hombre,0.8378378378378379,1.0,0.6702702702702704,1.0
NOX ML10 PRO CUP COORP 23,104.95,https://www.padelnuestro.com/nox-ml10-pro-cup-coorp-23-31585-p,nox,"blanco, gold",2,2,1,0,2,1,1,2,mixta,0.32432432432432434,0.35672514619883045,0.35675675675675683,0.3923976608187135
NOX ML10 BAHIA 12K LUXURY SERIES 2024,142.95,https://www.padelnuestro.com/nox-ml10-bahia-12k-luxury-series-2024-110809-p,nox,"negro, gris, rojo",3,2,0,2,2,2,2,2,hombre,0.6216216216216217,0.6549707602339182,0.5594594594594595,0.6549707602339182
